7Ja,Kevin,Jacobson,979-15-9345
0Wi,Ben,Winters,506-64-4175
16Ph,Annie,Phillips,875-29-6711
9Sl,Richard,Sleeper,455-12-4698
13Co,Diane,Cook,661-54-7065
2Re,Dewayne,Reece,886-27-6397
8De,Nicholas,Demora,858-43-4419
15Sa,Calvin,Sargent,453-96-1158
10Pr,Janie,Prager,977-32-7339
18Cu,Michael,Cumming,439-96-3558
17Pu,Delta,Pursley,143-95-6673
12Br,Paula,Brown,370-92-1441
6Ka,Warren,Kauffman,412-77-9904
1Wh,Bernard,White,862-89-9169
14Ma,Jamie,Maldanado,246-24-5823
11Be,Sharon,Bernard,443-16-6341
4Ba,Barbara,Baxter,864-16-1642
19Kl,Matt,Klos,688-56-3185
3Ed,Latasha,Edgington,994-70-2658
5Ni,Cary,Nixon,332-59-2699
